VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,08/12/2018 08:02:46 PM,08/12/2018 08:27:19 PM,1,9.05,1,N,138,230,1,28,0.5,0.5,10.52,5.76,0.3,45.58
2,08/12/2018 08:36:02 PM,08/12/2018 08:49:06 PM,1,4.75,1,N,142,244,1,15,0.5,0.5,2.5,0,0.3,18.8
2,08/12/2018 08:54:18 PM,08/12/2018 09:05:11 PM,1,2.32,1,N,116,168,2,10.5,0.5,0.5,0,0,0.3,11.8
1,08/12/2018 08:06:31 PM,08/12/2018 09:12:36 PM,2,17.2,1,N,48,67,2,54.5,0.5,0.5,0,5.76,0.3,61.56
1,08/12/2018 08:26:09 PM,08/12/2018 08:40:49 PM,1,2.1,1,N,170,141,1,11.5,0.5,0.5,2.56,0,0.3,15.36
1,08/12/2018 08:44:37 PM,08/12/2018 09:11:05 PM,1,3.8,1,N,141,144,2,17.5,0.5,0.5,0,0,0.3,18.8
1,08/12/2018 08:24:20 PM,08/12/2018 08:30:52 PM,1,1.2,1,N,79,249,1,6.5,0.5,0.5,1.55,0,0.3,9.35
1,08/12/2018 08:32:45 PM,08/12/2018 08:41:22 PM,1,1.3,1,N,249,158,2,7.5,0.5,0.5,0,0,0.3,8.8
1,08/12/2018 08:42:20 PM,08/12/2018 08:48:16 PM,1,0.8,1,N,158,68,2,6,0.5,0.5,0,0,0.3,7.3
1,08/12/2018 08:49:41 PM,08/12/2018 09:07:37 PM,1,4.4,1,N,68,209,1,16.5,0.5,0.5,1.5,0,0.3,19.3
2,08/12/2018 08:09:31 PM,08/12/2018 08:20:37 PM,2,2.8,1,N,141,79,1,10.5,0.5,0.5,1,0,0.3,12.8
2,08/12/2018 08:24:23 PM,08/12/2018 08:28:34 PM,1,0.85,1,N,79,107,1,5,0.5,0.5,1.26,0,0.3,7.56
2,08/12/2018 08:34:12 PM,08/12/2018 08:45:42 PM,1,2.25,1,N,234,246,1,10.5,0.5,0.5,0,0,0.3,11.8
2,08/12/2018 08:57:13 PM,08/12/2018 09:02:36 PM,2,0.74,1,N,48,48,2,5.5,0.5,0.5,0,0,0.3,6.8
2,08/12/2018 08:56:00 PM,08/12/2018 09:09:23 PM,1,1.45,1,N,48,164,2,10,0.5,0.5,0,0,0.3,11.3
2,08/12/2018 08:28:04 PM,08/12/2018 08:38:08 PM,1,2.94,1,N,224,209,1,11,0.5,0.5,2.46,0,0.3,14.76
2,08/12/2018 08:02:55 PM,08/12/2018 08:11:20 PM,1,1.78,1,N,211,68,1,8,0.5,0.5,1.86,0,0.3,11.16
2,08/12/2018 08:14:57 PM,08/12/2018 08:30:02 PM,1,3.06,1,N,90,43,1,13,0.5,0.5,2,0,0.3,16.3
2,08/12/2018 08:36:07 PM,08/12/2018 08:39:57 PM,1,1.09,1,N,239,142,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,08/12/2018 08:42:01 PM,08/12/2018 08:50:47 PM,1,2.7,1,N,48,151,1,10,0.5,0.5,2.26,0,0.3,13.56
2,08/12/2018 08:53:56 PM,08/12/2018 08:55:57 PM,1,0.59,1,N,238,239,1,4,0.5,0.5,1.06,0,0.3,6.36
2,08/12/2018 08:19:37 PM,08/12/2018 08:24:34 PM,1,0.65,1,N,161,230,2,5,0.5,0.5,0,0,0.3,6.3
1,08/12/2018 08:43:12 PM,08/12/2018 08:48:52 PM,1,1.2,1,N,162,140,2,6.5,0.5,0.5,0,0,0.3,7.8
2,08/12/2018 08:33:49 PM,08/12/2018 08:43:51 PM,1,1.64,1,N,79,170,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,08/12/2018 08:44:33 PM,08/12/2018 08:48:09 PM,1,0.65,1,N,170,229,1,4.5,0.5,0.5,0,0,0.3,5.8
2,08/12/2018 08:58:37 PM,08/12/2018 09:05:19 PM,1,1.63,1,N,236,162,1,7.5,0.5,0.5,1,0,0.3,9.8
1,08/12/2018 08:19:34 PM,08/12/2018 08:36:12 PM,1,2.4,1,N,186,4,1,12.5,0.5,0.5,1,0,0.3,14.8
1,08/12/2018 08:43:45 PM,08/12/2018 08:55:32 PM,1,2,1,N,148,87,1,9.5,0.5,0.5,2.5,0,0.3,13.3
2,08/12/2018 08:10:53 PM,08/12/2018 08:45:38 PM,1,6.71,1,N,50,223,1,26.5,0.5,0.5,5.56,0,0.3,33.36
2,08/12/2018 08:47:41 PM,08/12/2018 08:52:46 PM,1,1.12,1,N,223,223,2,6,0.5,0.5,0,0,0.3,7.3
1,08/12/2018 08:03:20 PM,08/12/2018 08:25:03 PM,1,6.8,1,N,42,68,2,23.5,0.5,0.5,0,0,0.3,24.8
1,08/12/2018 08:31:07 PM,08/12/2018 08:38:26 PM,2,1.4,1,N,68,48,2,7.5,0.5,0.5,0,0,0.3,8.8
1,08/12/2018 08:40:51 PM,08/12/2018 08:48:41 PM,1,1.2,1,N,100,170,2,7,0.5,0.5,0,0,0.3,8.3
1,08/12/2018 08:58:14 PM,08/12/2018 09:09:57 PM,1,2.1,1,N,229,107,1,10,0.5,0.5,1.5,0,0.3,12.8
2,08/12/2018 08:03:55 PM,08/12/2018 08:24:46 PM,1,3.14,1,N,137,87,1,15.5,0.5,0.5,2,0,0.3,18.8
2,08/12/2018 08:27:02 PM,08/12/2018 08:38:21 PM,1,1.99,1,N,87,211,1,9.5,0.5,0.5,2,0,0.3,12.8
2,08/12/2018 08:02:44 PM,08/12/2018 08:07:42 PM,5,0.62,1,N,48,48,2,5,0.5,0.5,0,0,0.3,6.3
2,08/12/2018 08:12:16 PM,08/12/2018 08:15:40 PM,5,0.61,1,N,48,68,2,4.5,0.5,0.5,0,0,0.3,5.8
2,08/12/2018 08:16:53 PM,08/12/2018 08:24:19 PM,5,1.7,1,N,68,113,1,7.5,0.5,0.5,2.2,0,0.3,11
2,08/12/2018 08:42:45 PM,08/12/2018 08:49:01 PM,5,0.94,1,N,107,224,1,6,0.5,0.5,2.19,0,0.3,9.49
2,08/12/2018 08:55:56 PM,08/12/2018 09:03:30 PM,5,0.52,1,N,79,148,1,6.5,0.5,0.5,1.95,0,0.3,9.75
1,08/12/2018 08:17:15 PM,08/12/2018 08:22:38 PM,1,0.7,1,N,79,114,2,5.5,0.5,0.5,0,0,0.3,6.8
1,08/12/2018 08:26:02 PM,08/12/2018 08:41:32 PM,1,1.9,1,N,114,170,2,11,0.5,0.5,0,0,0.3,12.3
1,08/12/2018 08:42:52 PM,08/12/2018 08:52:44 PM,2,1.5,1,N,137,100,1,8.5,0.5,0.5,1.95,0,0.3,11.75
2,08/12/2018 08:25:01 PM,08/12/2018 09:00:04 PM,1,11.77,1,N,138,48,1,36.5,0.5,0.5,8.71,5.76,0.3,52.27
2,08/12/2018 08:30:06 PM,08/12/2018 08:42:26 PM,1,5.01,1,N,138,95,2,16,0.5,0.5,0,0,0.3,17.3
1,08/12/2018 08:09:51 PM,08/12/2018 08:38:10 PM,1,6.7,1,N,164,255,2,24,0.5,0.5,0,5.76,0.3,31.06
1,08/12/2018 08:14:54 PM,08/12/2018 08:37:07 PM,1,9.4,1,N,138,229,1,27.5,0.5,0.5,6.9,5.76,0.3,41.46
1,08/12/2018 08:48:11 PM,08/12/2018 08:52:49 PM,1,0.9,1,N,229,141,1,5.5,0.5,0.5,1.35,0,0.3,8.15
2,08/12/2018 08:41:15 PM,08/12/2018 08:55:20 PM,3,4.97,1,N,231,79,1,16.5,0.5,0.5,3.56,0,0.3,21.36
2,08/12/2018 08:21:47 PM,08/12/2018 08:41:07 PM,2,3.61,1,N,186,13,1,15.5,0.5,0.5,2.5,0,0.3,19.3
2,08/12/2018 08:45:32 PM,08/12/2018 08:50:06 PM,2,0.72,1,N,231,249,1,5,0.5,0.5,1.26,0,0.3,7.56
1,08/12/2018 08:20:18 PM,08/12/2018 09:05:24 PM,1,21.3,2,N,132,261,1,52,0,0.5,11.7,5.76,0.3,70.26
2,08/12/2018 08:50:26 PM,08/12/2018 09:43:16 PM,1,5.8,1,N,48,7,1,32.5,0.5,0.5,0.2,0,0.3,34
1,08/12/2018 08:30:33 PM,08/12/2018 08:59:29 PM,1,18.6,1,N,132,67,2,49.5,0.5,0.5,0,0,0.3,50.8
2,08/12/2018 08:32:30 PM,08/12/2018 08:39:26 PM,1,2.94,1,N,132,10,1,10,0.5,0.5,2.82,0,0.3,14.12
1,08/12/2018 08:24:42 PM,08/12/2018 08:38:15 PM,1,2.1,1,N,100,141,1,11,0.5,0.5,2.45,0,0.3,14.75
1,08/12/2018 08:12:48 PM,08/12/2018 08:37:09 PM,2,4.3,1,N,66,234,1,19,0.5,0.5,0,0,0.3,20.3
2,08/12/2018 08:07:11 PM,08/12/2018 08:19:06 PM,1,2.19,1,N,100,142,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,08/12/2018 08:28:53 PM,08/12/2018 08:34:13 PM,1,1.08,1,N,163,162,1,6,0.5,0.5,2.19,0,0.3,9.49
2,08/12/2018 08:41:01 PM,08/12/2018 08:47:17 PM,1,0.77,1,N,161,162,1,6,0.5,0.5,0,0,0.3,7.3
2,08/12/2018 08:52:54 PM,08/12/2018 09:06:08 PM,1,1.54,1,N,233,186,2,10,0.5,0.5,0,0,0.3,11.3
4,08/12/2018 08:04:02 PM,08/12/2018 08:10:16 PM,1,1.24,1,N,263,141,2,6.5,0.5,0.5,0,0,0.3,7.8
4,08/12/2018 08:23:46 PM,08/12/2018 08:32:41 PM,1,1.13,1,N,100,137,2,7.5,0.5,0.5,0,0,0.3,8.8
4,08/12/2018 08:41:32 PM,08/12/2018 08:47:16 PM,1,0.48,1,N,113,113,2,5.5,0.5,0.5,0,0,0.3,6.8
4,08/12/2018 08:53:10 PM,08/12/2018 09:04:56 PM,1,1.83,1,N,114,107,2,9.5,0.5,0.5,0,0,0.3,10.8
1,08/12/2018 08:10:23 PM,08/12/2018 08:18:22 PM,1,1.1,1,N,13,13,2,7,0.5,0.5,0,0,0.3,8.3
1,08/12/2018 08:22:54 PM,08/12/2018 08:32:50 PM,1,1.5,1,N,231,45,1,8,0.5,0.5,1.2,0,0.3,10.5
1,08/12/2018 08:42:00 PM,08/12/2018 08:45:50 PM,1,0.5,1,N,148,232,1,4.5,0.5,0.5,1.7,0,0.3,7.5
2,08/12/2018 08:30:06 PM,08/12/2018 08:37:38 PM,2,1.53,1,N,90,68,1,7.5,0.5,0.5,0,0,0.3,8.8
2,08/12/2018 08:44:00 PM,08/12/2018 09:06:33 PM,2,4.57,1,N,186,262,1,18.5,0.5,0.5,2,0,0.3,21.8
2,08/12/2018 08:30:48 PM,08/12/2018 08:51:01 PM,1,5.62,1,N,97,145,1,20.5,0.5,0.5,1.5,0,0.3,23.3
2,08/12/2018 08:07:15 PM,08/12/2018 08:28:03 PM,1,4.38,1,N,113,238,2,17,0.5,0.5,0,0,0.3,18.3
2,08/12/2018 08:40:09 PM,08/12/2018 08:45:06 PM,1,0.78,1,N,142,161,2,5,0.5,0.5,0,0,0.3,6.3
2,08/12/2018 08:46:27 PM,08/12/2018 08:56:52 PM,1,2.73,1,N,161,263,1,10,0.5,0.5,1.13,0,0.3,12.43
1,08/12/2018 08:48:38 PM,08/12/2018 09:02:42 PM,1,2.8,1,N,114,246,1,12,0.5,0.5,1.33,0,0.3,14.63
1,08/12/2018 08:07:50 PM,08/12/2018 08:13:57 PM,1,0.9,1,N,144,79,2,6,0.5,0.5,0,0,0.3,7.3
